longitude,latitude
106.40353,9.68546
107.446658,10.480629
106.755633,11.237148
107.085464,10.349365
107.44633,10.48042
106.6944,10.95645
105.20062,8.99344
104.885048,9.238154
105.13852,9.188859
106.82875,11.08291
106.676165,11.688341
106.730616,10.727883
104.00935,10.02908
104.010667,10.03707
106.1365,9.6072
105.90637,10.25855
106.924,10.7002
106.90857,11.00742
106.95283,10.694672
106.95086,10.68977
107.2422,10.947
106.35754,10.48246
106.36142,10.47828
108.55081,11.875802
108.437123,11.94891
108.437123,11.947785
108.43531,11.946686
108.42038,11.922413
107.08514,10.33748
106.616058,10.646245
106.594673,10.639669
106.644498,10.627634
106.62723,10.632759
106.664916,10.612956
106.731385,10.630475
106.699787,10.637676
106.39553,10.608216
106.40782,10.60656
106.72839,10.92162
106.74266,10.94488
106.678112,10.857733
106.705833,10.786013
105.463636,10.56175
105.4384,10.5808
105.448824,10.557817
105.302799,10.812867
105.603229,10.417434
106.765129,11.10326
106.67326,11.07724
106.979247,10.898125
106.84841,11.35878
106.95495,11.1088
106.904479,10.915514
106.87735,10.88124
106.726931,11.019668
108.424412,11.689111
106.421199,10.83984
106.31117,10.90047
106.45247,10.78466
106.385616,10.789935
106.41903,10.52793
106.40594,10.59551
106.39659,10.59761
106.836609,11.113861
106.7059,10.77112
107.029887,10.968589
107.2165,10.8929
106.704484,11.19524
106.69203,10.776729
106.704956,10.782466
106.773402,11.33621
106.916218,10.904019
107.454929,11.241851
106.820395,11.356436
106.714147,11.331111
106.32322,10.37467
106.34133,10.37932
105.969911,10.255452
107.5082,10.84533
107.02172,10.94656
107.02169,10.95066
106.919926,10.699073
106.91489,10.706983
106.931529,10.714904
106.90934,10.95575
106.762861,10.865306
106.66171,10.75463
107.43406,11.276829
107.07874,10.67731
106.983739,10.868491
106.923678,10.769944
106.958465,10.707751
106.0298,10.0902
106.687975,10.775844
106.407532,10.531409
106.47917,10.8031
105.953173,10.652957
105.177911,10.88732
106.701927,10.783748
105.78218,10.030501
105.72475,10.00769
107.052433,10.72701
106.93689,10.78944
107.427285,11.435615
107.42732,11.422951
106.858588,10.967681
106.9372,10.920366
105.90312,10.47106
106.540283,11.084597
106.18034,11.37651
106.3076,11.03656
106.395861,11.00976
106.326816,11.157209
106.341701,11.127809
106.655674,11.439485
106.874839,11.472372
105.634972,10.454976
106.110558,11.1801
105.741851,9.209689
106.712202,11.276311
105.963465,11.329549
106.568903,11.839986
106.874685,11.472712
106.6253,11.371
106.384627,10.547978
106.7591,10.887359
106.801392,11.001437
106.77263,11.08104
106.762215,11.293903
106.843932,11.23651
106.93468,10.74712
106.9616,10.846069
106.84789,11.2224
106.818028,10.944857
107.149814,10.400655
107.42533,11.276317
107.44876,11.2527
106.84562,11.284767
106.961182,10.715041
107.2313,10.9598
107.2365,10.9634
107.2311,10.9475
106.85353,10.90937
106.87526,10.989171
106.29494,10.46525
106.36389,10.35746
106.51611,10.88333
106.50217,10.83811
106.50101,10.82236
106.48869,10.80231
106.468853,10.78594
105.8573,10.8988
105.0069,10.613307
106.622377,10.737809
106.6808,10.75646
106.684545,10.788406
105.4308,10.4092
105.89508,10.40526
106.35448,10.36322
106.30747,10.349
106.13816,10.4858
106.31419,10.36356
107.40646,10.905972
106.988993,10.791521
107.004346,10.943319
106.964488,10.950835
107.02106,10.8008
106.8761,10.9485
106.95326,10.73657
106.9558,10.78883
106.95461,10.850873
106.89787,10.948626
106.94794,10.85897
106.722169,11.114801
106.41079,10.30007
106.37809,10.22476
106.37597,10.2106
105.790061,10.051373
105.77558,10.06166
105.72667,9.293264
105.722308,9.294913
105.316911,8.905835
105.32382,8.94649
105.287735,8.948088
105.292291,8.965215
105.271035,8.977631
105.215068,9.070685
106.592119,10.626014
106.713494,10.844207
106.32128,10.35131
106.30767,10.38554
107.05678,11.08088
106.89424,11.02446
106.82213,11.04347
106.98946,10.919694
107.048464,10.956901
107.054533,10.9462
107.054777,11.01328
106.785433,10.899887
106.76408,10.91588
106.804617,10.900816
107.39455,10.83491
107.3746,10.4685
106.42376,11.20485
106.38387,11.25633
106.91938,10.8984
105.151337,10.586576
107.314836,11.166929
107.283574,10.928636
106.35404,9.92315
106.82558,10.99836
106.744722,11.079051
106.7162,10.9276
106.821729,10.717134
107.0064,10.787161
107.23591,10.93841
106.900423,10.96183
106.64297,11.05871
105.11288,10.911674
107.152545,10.39903
106.76304,11.04601
107.135983,10.906636
106.93031,10.760582
106.954846,10.84125
106.9693,10.8487
106.95065,10.844393
106.87452,10.95608
106.32907,10.39453
106.31482,10.38156
106.3475,10.38375
106.477024,10.123778
106.43938,10.22826
106.328647,10.070555
106.456961,10.117148
106.360846,10.481764
106.45124,9.85186
106.042,10.2851
106.03894,10.26867
106.720531,10.724178
106.78762,10.772036
106.651173,10.798639
106.736369,10.712394
105.35818,10.76698
107.376068,10.469549
105.49428,10.613207
108.463591,11.953449
107.624767,11.402818
107.289684,11.538587
108.99697,11.574505
106.715837,11.194879
108.35381,11.443
108.748803,11.390207
108.739008,11.374184
106.75632,10.93289
106.6977,11.0155
106.702496,11.117118
106.829613,11.092819
106.6854,11.05209
107.0364,10.5988
107.110635,10.950287
106.895036,10.915729
106.894731,10.969975
106.794824,11.305176
106.74984,10.94293
106.7281,10.9376
106.66653,10.98429
104.007486,10.027082
105.453782,9.761445
105.487545,9.66132
105.474526,9.71691
105.776845,9.831317
107.8815,10.7862
108.43846,11.9374
105.508667,10.455614
104.91237,10.41438
105.63436,10.43847
106.682545,10.850457
106.1545,11.4896
106.080977,11.55001
107.735945,10.652607
108.113082,10.938586
106.1178,11.17183
106.10173,11.3189
106.02253,9.64192
105.720831,9.284533
106.4533,10.2147
106.936531,11.1449
106.884745,10.978755
106.796761,11.085717
108.502546,11.218169
108.7701,11.29084
108.497737,11.223012
105.470365,9.27217
105.402268,9.566505
105.515524,9.208558
105.534381,9.201926
106.713169,10.978556
107.806869,11.552794
108.444025,11.939303
108.44489,11.939524
105.15349,8.87759
105.361314,9.027648
105.197986,9.113731
105.194932,9.193892
105.231798,9.119233
105.02902,9.18054
104.990249,9.153482
105.060165,9.163936
104.813598,9.158122
106.6911,10.9582
105.452252,10.199576
105.521518,9.940181
105.766796,10.019758
106.508158,10.808969
106.490314,10.639318
107.056819,10.595886
106.911413,10.992217
106.776741,11.376477
106.9567,10.6896
107.213489,10.970367
106.644102,11.11491
106.45344,11.16357
106.86822,10.99279
106.880832,10.94052
105.8766,10.53303
105.87243,10.42312
105.76372,10.297506
105.804718,10.39758
106.35968,10.41004
106.33117,9.94155
105.82967,10.60623
106.32664,10.41459
106.24537,10.39127
106.36004,10.42862
106.35522,10.43495
106.65222,10.05866
106.54529,10.09129
106.62043,10.13924
106.58627,10.08396
106.77798,10.14988
106.57175,10.24393
106.53286,10.24522
106.650273,10.750485
106.418919,10.990163
106.709817,10.84406
106.695312,10.805384
106.690902,10.809451
106.667,10.7921
106.69025,11.231789
108.137274,10.939217
107.672194,11.225891
108.115235,10.948579
106.664494,10.713523
105.341437,9.547064
105.357085,9.514361
108.36278,11.730826
108.380859,11.748923
106.61805,10.8224
105.792055,9.263761
105.67466,9.36014
105.543814,9.356651
107.31231,10.51872
106.6771,10.8089
106.615089,10.803077
105.745887,9.245635
105.55722,9.37217
105.563816,9.42848
105.373185,9.584959
105.307655,9.607061
108.4743,11.96659
105.31284,9.088337
105.73673,9.345985
105.68726,9.32891
105.670376,9.27247
105.698162,9.260631
105.344645,10.151965
105.6058,10.091
105.5835,10.08553
105.487,10.0271
105.659353,10.137091
105.7823,10.04491
105.783994,10.00531
105.5412,10.004
106.52459,10.64329
106.49512,10.62134
105.3854,10.19495
105.534662,10.26669
105.53349,10.27858
105.54879,10.26019
105.540935,10.24459
105.528552,10.268242
105.69941,10.10197
105.77867,10.02804
105.754788,10.025331
105.78488,10.03453
105.742597,10.039401
106.13855,10.23678
106.20562,10.19145
106.47376,10.36345
106.00262,10.38043
105.97814,10.372
106.24677,10.33897
106.46923,10.39333
106.34684,10.40938
105.8174,10.04111
106.860463,11.005482
107.050406,11.086334
106.860292,11.0158
106.85445,11.012362
106.85013,11.01222
106.76941,11.036745
107.082703,10.932316
106.985863,10.875265
106.99659,10.891033
107.284031,10.8192
106.611146,8.686968
106.743628,11.150839
106.912764,10.95874
106.633982,11.054882
106.7032,11.2158
106.945834,10.692386
107.35338,11.20192
106.845058,10.961084
106.822361,10.986675
106.798349,10.855136
106.7242,10.73145
106.67397,10.76583
106.73493,10.83811
106.80757,10.83517
106.710184,10.802135
105.526357,9.40785
105.497765,9.442944
105.51057,9.366571
105.528593,9.439784
105.508594,9.397495
108.11511,11.939001
108.277461,10.950364
107.887902,11.222509
108.045077,11.228548
108.776362,11.315687
108.117272,11.570517
108.104218,11.549822
108.514007,11.960277
108.4476,12.02023
108.481461,12.015778
105.031654,9.389394
105.076236,9.208048
105.02511,9.30275
105.76578,9.34031
105.769,9.40827
105.549503,9.549852
105.544179,9.584175
107.83662,11.55207
108.4315,11.9529
108.33018,11.814951
108.367001,11.743904
107.821758,11.535817
105.453853,9.437895
105.32144,9.23857
105.318584,9.141737
105.310785,9.122543
105.33382,9.17828
105.108505,8.898437
106.65045,10.75922
106.69457,10.76371
106.704105,10.802739
106.767555,11.06359
106.715571,11.127959
106.69925,10.870862
106.7251,10.9116
106.788007,10.922614
106.753845,10.884429
106.617427,11.256846
106.59478,11.05505
106.5952,11.064173
106.57333,11.05678
106.656108,11.139767
106.608719,11.140625
106.728823,10.914879
106.725256,11.375795
107.37569,11.18767
106.584416,11.198081
106.28887,10.08691
106.28914,10.11596
105.23952,10.82187
106.42583,10.22819
106.39792,10.19902
106.50588,9.9577
106.47652,10.002
106.53056,9.92569
106.51689,10.12913
106.48437,10.18905
106.42693,10.12009
106.59401,10.22577
106.54606,10.23128
106.5833,10.22894
108.940219,10.512195
108.373873,11.798164
108.415203,11.88997
108.580391,11.857483
107.82342,11.418832
108.60257,11.83081
106.629758,10.761087
104.798576,8.825986
104.931858,8.825259
105.145196,9.430559
105.251505,9.306525
105.22981,9.30512
105.024431,9.532605
105.180216,9.254273
104.859214,8.827791
105.111551,9.23702
104.8924,8.822371
104.906469,8.884563
104.966939,9.41222
104.966522,9.464455
106.5915,11.2653
106.842438,11.101605
106.15618,9.48728
105.89001,9.42231
105.97386,9.40656
105.95686,9.64405
105.887331,9.387934
108.3865,11.808839
108.43264,11.943602
108.431121,11.945993
108.46057,11.918343
108.727555,11.22537
107.662144,10.938559
108.268353,10.950791
108.73141,11.22938
105.428693,9.06284
105.447291,9.16807
105.424331,9.107098
105.402164,9.460235
105.375198,9.489825
105.347673,9.451283
105.483672,9.492547
105.243495,9.222115
106.620985,11.492872
106.831388,11.51839
106.826136,11.925673
106.833752,11.523778
106.7024,10.7745
106.38024,10.26509
106.62931,9.87501
106.60561,9.86022
106.54206,10.21531
107.399657,10.521153
107.06594,10.46123
107.17462,10.44522
107.03125,10.57449
107.05385,10.60593
107.07498,10.53608
107.050477,10.650715
107.0653,10.5598
107.02219,10.56457
105.2485,10.2604
107.038053,10.944062
106.940695,10.673323
107.21962,10.41781
107.27194,10.48273
105.39703,10.55306
105.40974,10.54917
107.181013,10.490538
106.879592,10.916629
105.053647,10.927458
106.79314,11.05945
106.940863,10.700606
105.3564,10.18909
105.5264,9.9915
105.399583,10.043771
105.768213,10.049571
105.758777,10.030908
105.73455,10.0156
105.76902,10.02761
105.78566,10.00329
105.74939,10.04164
105.745893,10.079105
106.671864,10.762232
106.731671,10.784761
106.636789,10.796818
106.64272,10.79944
106.657581,10.796754
106.65458,10.79694
106.65268,10.792427
106.63941,10.79893
106.66656,10.80284
106.64301,10.79637
106.66031,10.79714
106.646189,10.801132
106.651963,10.800644
106.67532,10.75091
106.66703,10.75081
106.68447,10.75235
106.68778,10.77445
106.684684,10.780246
106.69238,10.78675
106.673641,10.807954
106.691136,10.808465
106.29626,10.13603
105.73976,10.38682
105.82022,10.26391
105.58674,10.45772
105.927504,10.339979
106.114715,10.450456
107.4022,10.4746
107.0819,10.3339
107.091455,10.353595
107.08726,10.3479
107.09401,10.39409
107.15394,10.41577
107.13664,10.40329
107.1047,10.39061
107.126731,10.408634
107.08614,10.3653
107.08679,10.33517
107.09065,10.33759
107.145398,10.439438
107.09287,10.346141
107.08835,10.33801
107.08853,10.36737
107.081026,10.459928
107.05924,10.5836
107.06221,10.56869
